,Reference area,TIME_PERIOD,Adult literacy skills [Points],Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling lonely [Percentage of population aged 16 years or over],Feeling safe at night [Percentage of population aged 15 years or over],Having a say in government [Percentage of population aged 16-65 years],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Self-reported depression [Percentage of population aged 15 years or over],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
0,Argentina,2004,,,,,,,,,,74.9,,,,,
1,Argentina,2005,,,,,,,,,,75.2,,,,,
2,Argentina,2006,,,,,,41.5,,,,75.3,,,,89.0135336584,
3,Argentina,2007,,,,,,41.5,,,,74.8,,,,89.0135336584,
4,Argentina,2008,,,,,,39.3333333333,,,,75.4,,,,90.156299608,
5,Argentina,2009,,,,,,39.3333333333,,,,75.6,,,,90.156299608,
6,Argentina,2010,,,,,,39.3333333333,,,,75.7,,,,90.156299608,
7,Argentina,2011,,,,,,46.3333333333,,,,76.1,,,,89.2144180621,
8,Argentina,2012,,,,,,46.3333333333,,,,75.8,,,,89.2144180621,
9,Argentina,2013,,,,,,46.3333333333,,,,75.8,,,,89.2144180621,
10,Argentina,2014,,,,,,41.3333333333,,,,76.3,,,,90.2197378819,
11,Argentina,2015,,,,,,41.3333333333,,,,76.6,,,,90.2197378819,
12,Argentina,2016,,,,72.432,,41.3333333333,,,,76.1,,2.3312,,90.2197378819,
13,Argentina,2017,,,,73.548,,41.0,,,,76.5,,2.702394822,,89.8206332448,
14,Argentina,2018,,,,72.632,,41.0,,,,76.8,,3.1059354291,,89.8206332448,
15,Argentina,2019,,,,73.067,,41.0,,,,76.8,,3.4088137584,,89.8206332448,
16,Argentina,2020,,,,70.181,,49.3333333333,,,,75.9,,3.0156135402,,88.4507335783,
17,Argentina,2021,,,,75.428,,49.3333333333,,,,73.9,,3.2744483122,,88.4507335783,
18,Argentina,2022,,,,76.746,,49.3333333333,,,,75.8,,2.3156422018,,88.4507335783,
19,Argentina,2023,,,,77.853,,44.5,,,,77.4,,1.8986889429,,90.3251426978,
20,Argentina,2024,,,,,,44.5,,,,,,,,90.3251426978,
21,Australia,2004,,61629.11,,72.397,,,,35102.0,80.7427856471,80.5,,0.9680599867,,,
22,Australia,2005,,62347.376,,73.679,,,,35425.0,80.7732374077,80.8,,0.9056612352,,,
23,Australia,2006,,62769.154,,74.309,,63.0,,36716.0,80.8464239144,81.0,,0.8819578978,,96.1853591889,512.8932915909
24,Australia,2007,,64500.872,,75.057,,63.0,,38144.0,80.8964268222,81.3,,0.8244756756,,96.1853591889,
25,Australia,2008,,64995.647,,75.475,,63.5,,40098.0,81.1855974383,81.4,,0.807027429,,94.7713258923,
26,Australia,2009,,64406.029,,74.893,,,,39776.0,80.6204494212,81.5,,0.8357393204,,,514.9006552821
27,Australia,2010,,66705.582,,75.444,,63.5,,41406.0,80.8330500738,81.7,,0.9892823526,,94.7713258923,
28,Australia,2011,,68914.944,,75.798,,65.3333333333,,42084.0,80.5510945968,81.9,,0.98445803,,94.4150057251,
29,Australia,2012,280.40107,69392.868,,75.589,,65.3333333333,,41572.0,80.0545623236,82.0,,1.013312533,,94.4150057251,511.8039976357
30,Australia,2013,,69189.387,,75.336,,65.3333333333,,42081.0,80.1322215913,82.1,,1.1106509409,,94.4150057251,
31,Australia,2014,,69877.669,,75.05,,63.6666666667,,42674.0,80.2220013382,82.3,,1.3618565689,,93.5628795368,
32,Australia,2015,,69464.852,,75.58,,63.6666666667,,42716.0,80.0728861988,82.4,,1.4567299967,,93.5628795368,502.9005598086
33,Australia,2016,,69806.581,,75.888,,63.6666666667,,43069.0,80.0577271726,82.4,,1.3934025953,,93.5628795368,
34,Australia,2017,,69579.169,,76.38,,63.6666666667,,43399.0,79.979501148,82.5,,1.3578997436,,94.095000821,
35,Australia,2018,,69832.234,,76.917,,63.6666666667,,43982.0,80.1975387194,82.8,,1.343368105,,94.095000821,502.6317242965
36,Australia,2019,,70501.846,,77.598,,63.6666666667,,45273.0,80.6573342446,82.9,7.5,1.2395478944,,94.095000821,
37,Australia,2020,,71915.394,,76.129,,67.6666666667,,47039.0,81.0374823109,83.2,7.2,1.3068412847,,92.9694706655,
38,Australia,2021,,72716.686,,77.851,,67.6666666667,32.025161,48641.0,81.6531283455,83.3,,1.4979282385,,92.9694706655,
39,Australia,2022,,71109.992,,79.578,,67.6666666667,,46375.0,81.032666415,83.2,,0.940274806,,92.9694706655,498.05
40,Australia,2023,,70422.098,,80.1,,67.0,46.4628,45485.0,80.4740641886,83.0,,0.7322524778,,89.3636183725,
41,Australia,2024,,70736.187,,80.266,,67.0,,,,,,0.8373365755,,89.3636183725,
42,Austria,2004,,68251.938,10.7,69.865,,,,42817.0,80.5478900496,79.3,,1.5396965178,,,
43,Austria,2005,,68622.299,9.6,70.806,,,,44034.0,80.2863387642,79.5,,1.4475229961,,,
44,Austria,2006,,69651.63,7.8,72.09,,75.0,,45186.0,80.5407381449,80.1,,1.4806759903,,91.6049182182,490.1939773816
45,Austria,2007,,70059.18,10.9,73.36,,,,46205.0,80.9183867474,80.3,,1.3413049521,,,
46,Austria,2008,,71218.017,14.0,74.34,,77.3333333333,,46668.0,80.7264356056,80.6,,1.0191233506,,91.452772301,
47,Austria,2009,,72435.383,15.4,74.041,,77.3333333333,,46927.0,80.6919805343,80.5,,1.1681729816,,91.452772301,470.2836321014
48,Austria,2010,,72103.745,14.4,74.646,,77.3333333333,,46352.0,80.1800346659,80.7,,1.2468724191,,91.452772301,
49,Austria,2011,,71327.643,14.4,74.745,,83.0,,45582.0,79.6906692922,81.1,,1.2161709866,,93.9589030272,
50,Austria,2012,269.4511534,71731.843,14.0,75.155,,83.0,,46342.0,79.8114982411,81.1,,1.2309270774,,93.9589030272,489.6093351658
51,Austria,2013,,71761.772,14.0,75.27,,83.0,,45159.0,79.2066632087,81.3,7.8100056064,1.3336725501,,93.9589030272,
52,Austria,2014,,72033.928,14.9,75.027,,80.6666666667,,45131.0,79.2580931766,81.6,,1.552969039,5.0,91.5153156883,
53,Austria,2015,,72558.786,13.4,75.159,,80.6666666667,,45022.0,79.2105374973,81.3,,1.7012154464,,91.5153156883,484.8655971403
54,Austria,2016,,73253.777,12.8,75.744,,80.6666666667,,45586.0,79.3050425241,81.8,,1.9731612971,,91.5153156883,
55,Austria,2017,,73263.137,11.5,76.423,,84.0,,45694.0,79.1502390374,81.7,,1.864470732,,92.1018243735,
56,Austria,2018,,73540.157,11.3,77.178,3.4708502358,84.0,,46107.0,79.3418907548,81.8,8.0024162941,1.4221072354,,92.1018243735,484.3925684679
57,Austria,2019,,74147.783,10.7,77.654,,84.0,,46162.0,79.2029613777,82.0,,1.1440468888,5.6,92.1018243735,
58,Austria,2020,,74353.046,9.4,76.457,,82.3333333333,,45404.0,78.7387693976,81.3,,1.3345461864,,88.6930648755,
59,Austria,2021,,75501.799,10.1,76.428,,82.3333333333,18.092454,47037.0,78.9315567186,81.3,7.9919458767,1.9759346218,,88.6930648755,
60,Austria,2022,,73761.494,11.9,78.006,4.2547728909,82.3333333333,,47149.0,79.227485712,81.4,7.8826444055,1.2140896407,,88.6930648755,480.41
61,Austria,2023,257.53921,73585.512,13.6,77.92,,83.0,,46610.0,79.3439751966,81.9,7.696147497,1.1559282873,,89.6883561137,
62,Austria,2024,,75767.15,13.1,78.197,,83.0,,,,,7.6220193507,1.1317312265,,89.6883561137,
63,Belgium,2004,,71660.301,18.2,67.677,,,,40049.0,81.7497970671,79.0,,4.1323442502,,,
64,Belgium,2005,,70980.025,17.1,68.646,,,,40200.0,81.5541419204,79.1,,4.3861851538,,,
65,Belgium,2006,,71462.223,16.5,68.496,,68.5,,40844.0,81.5416206117,79.5,,4.239453599,,92.2557985583,500.9005946813
66,Belgium,2007,,71329.639,15.3,69.805,,68.5,,41511.0,81.9028541332,79.9,,3.7672469613,,92.2557985583,
67,Belgium,2008,,71637.445,21.4,70.263,,65.5,,42108.0,81.4789201093,79.8,,3.3253557241,,92.2556829548,
68,Belgium,2009,,72634.832,21.1,69.756,,,,42628.0,81.3574050152,80.2,,3.5136158604,,,505.9457961641
69,Belgium,2010,,72299.056,20.8,70.266,,65.5,,42090.0,80.1496001068,80.3,,4.0629450383,,92.2556829548,
70,Belgium,2011,,73038.155,20.9,69.979,,64.3333333333,,41759.0,79.7568918754,80.7,,3.4711553398,,92.2251127146,
71,Belgium,2012,275.4803187,73628.817,22.1,70.05,,64.3333333333,,41739.0,79.3608437988,80.5,,3.3934007208,,92.2251127146,508.6178765027
72,Belgium,2013,,74358.208,21.0,70.321,,64.3333333333,,41596.0,79.3476319554,80.7,7.5289745505,3.9061481878,,92.2251127146,
73,Belgium,2014,,74774.678,20.2,70.501,,70.6666666667,,41720.0,79.8882666752,81.4,,4.2912511995,,91.7445894772,
74,Belgium,2015,,74266.295,20.5,70.282,,70.6666666667,,41706.0,79.8464339998,81.1,,4.4253156366,,91.7445894772,498.5241891857
75,Belgium,2016,,74425.268,21.5,70.933,,70.6666666667,,42092.0,79.9362732432,81.5,,4.0671598469,,91.7445894772,
76,Belgium,2017,,73904.426,20.9,71.89,,65.6666666667,,42538.0,79.9509800914,81.6,,3.4767534478,,90.6998144251,
77,Belgium,2018,,74341.899,19.1,72.977,6.6599736463,65.6666666667,,42873.0,80.0845608292,81.7,7.5800243702,2.9221052714,,90.6998144251,492.8644386514
78,Belgium,2019,,75073.885,19.1,73.604,,65.6666666667,,43766.0,80.4111912624,82.1,,2.3530720401,9.0,90.6998144251,
79,Belgium,2020,,72792.596,16.8,73.468,,65.6666666667,,43700.0,80.6831223978,80.8,,2.334372549,,90.8298792149,
80,Belgium,2021,,75091.965,15.6,74.057,,65.6666666667,20.059463,44861.0,80.3704920239,81.9,7.5479577814,2.6235432229,,90.8298792149,
81,Belgium,2022,,73530.44,16.7,75.41,5.3272416276,65.6666666667,,44467.0,79.6440377201,81.8,7.5772294915,2.3022600074,,90.8298792149,478.85
82,Belgium,2023,278.4612713,75661.615,15.5,75.456,,71.0,29.470927,45273.0,80.9073223943,82.5,7.681908677,2.1897782445,,90.2144180111,
83,Belgium,2024,,76108.816,17.1,75.825,,71.0,,,,,7.5976112956,2.0638926321,,90.2144180111,
84,Brazil,2004,,,,72.157,,,,,,71.4,,,,,
85,Brazil,2005,,,,72.715,,,,,,71.8,,,,,
86,Brazil,2006,,,,73.054,,38.0,,,,72.3,,,,88.0416414841,392.885112093
87,Brazil,2007,,,,72.696,,38.0,,,,72.7,,,,88.0416414841,
88,Brazil,2008,,,,73.593,,41.6666666667,,,,73.1,,,,89.1901925088,
89,Brazil,2009,,,,73.219,,41.6666666667,,,,73.5,,,,89.1901925088,411.7549273904
90,Brazil,2010,,,,,,41.6666666667,,,,73.8,,,,89.1901925088,
91,Brazil,2011,,,,72.382,,42.6666666667,,,,74.0,,,,90.2138927847,
92,Brazil,2012,,,,68.974,,42.6666666667,,,,74.3,,,,90.2138927847,406.5331578289
93,Brazil,2013,,,,69.582,,42.6666666667,,,,74.6,,,,90.2138927847,
94,Brazil,2014,,,,69.697,,37.3333333333,,,,74.8,,,,90.1466072694,
95,Brazil,2015,,,,69.199,,37.3333333333,,,,75.1,,,,90.1466072694,407.3485922656
96,Brazil,2016,,,,68.913,,37.3333333333,,,,75.1,,,,90.1466072694,
97,Brazil,2017,,,,68.046,,35.0,,,,75.4,,,,88.8960063047,
98,Brazil,2018,,,,68.546,,35.0,,,,75.6,,,,88.8960063047,412.8733165079
99,Brazil,2019,,,,69.237,,35.0,,,,75.8,,,,88.8960063047,
100,Brazil,2020,,,,63.815,,47.0,,,,74.5,,,,83.2240948759,
101,Brazil,2021,,,,65.033,,47.0,,,,73.0,,,,83.2240948759,
102,Brazil,2022,,,,68.937,,47.0,,,,74.9,,,,83.2240948759,
103,Brazil,2023,,,,70.692,,49.5,,,,75.8,,,,85.9872792907,
104,Brazil,2024,,,,71.813,,49.5,,,,,,,,85.9872792907,
105,Bulgaria,2004,,,,62.425,,,,9978.0,76.6003779159,72.5,,7.2498824664,,,
106,Bulgaria,2005,,,71.2,64.238,,,,10360.0,75.6963403746,72.5,,6.0831861153,,,
107,Bulgaria,2006,,,71.2,67.366,,47.0,,11473.0,75.6780967278,72.7,,5.0277087279,,80.7402042817,
108,Bulgaria,2007,,,68.0,70.794,,,,11889.0,75.8114001966,73.0,,4.0844690071,,,
109,Bulgaria,2008,,,63.8,72.972,,,,13619.0,76.4588139842,73.3,,2.9260228799,,,
110,Bulgaria,2009,,,63.1,71.395,,55.0,,13879.0,76.2892996317,73.7,,2.9798118146,,81.5910135204,
111,Bulgaria,2010,,,65.0,67.436,,55.0,,13775.0,75.2195973612,73.8,,4.7726543167,,81.5910135204,
112,Bulgaria,2011,,,62.4,65.98,,56.0,,14586.0,75.4110629403,74.2,,6.3471970603,,83.2793867313,
113,Bulgaria,2012,,,65.9,66.115,,56.0,,14439.0,73.7640831568,74.4,,6.8437532808,,83.2793867313,
114,Bulgaria,2013,,,65.2,66.712,,56.0,,15053.0,75.196283063,74.9,4.7706767102,7.4809588387,,83.2793867313,
115,Bulgaria,2014,,,63.2,68.352,,56.0,,15112.0,76.3502133656,74.5,,6.9683826451,7.9,89.9007832032,
116,Bulgaria,2015,,,64.0,70.363,,56.0,,15503.0,76.1683084474,74.7,,5.6582079585,,89.9007832032,
117,Bulgaria,2016,,,61.7,70.801,,56.0,,16120.0,76.6097430896,74.9,,4.534517756,,89.9007832032,
118,Bulgaria,2017,,,58.4,74.117,,57.6666666667,,16763.0,76.3022573642,74.8,,3.4301232659,,93.1428503554,
119,Bulgaria,2018,,,55.9,75.329,8.5790494691,57.6666666667,,18311.0,76.8063270914,75.0,5.3559495373,3.0945028875,,93.1428503554,
120,Bulgaria,2019,,,50.1,77.678,,57.6666666667,,18972.0,76.2584904125,75.1,,2.4022107932,4.5,93.1428503554,
121,Bulgaria,2020,,,43.7,76.384,,65.6666666667,,19275.0,77.2799560808,73.3,,2.3349509548,,91.0492372263,
122,Bulgaria,2021,,,37.1,76.493,,65.6666666667,,20194.0,76.7759882571,71.2,5.6635483578,2.60485492,,91.0492372263,
123,Bulgaria,2022,,,40.3,78.859,7.5928567871,65.6666666667,,20998.0,76.6188506286,74.2,5.5609930211,2.2712359634,,91.0492372263,
124,Bulgaria,2023,,,33.2,79.434,,65.5,,,,75.8,5.8810288066,2.2861202808,,92.9535528324,
125,Bulgaria,2024,,,37.4,80.314,,65.5,,,,,6.2387145375,2.1815654262,,92.9535528324,
126,Canada,2004,,55892.446,,76.042,,,,32337.0,77.5989181087,80.1,,0.6893166364,,,
127,Canada,2005,,57506.9,,76.035,,,,32628.0,77.391489889,80.2,,0.6507057615,,,
128,Canada,2006,,59258.083,,76.155,,77.5,,34008.0,77.7195203271,80.7,,0.5380142229,,95.8496554782,527.0112955884
129,Canada,2007,,60840.573,,76.631,,77.5,,34839.0,77.5774454087,80.7,,0.4376312098,,,
130,Canada,2008,,61908.661,,76.63,,77.3333333333,,35784.0,77.6687075237,80.8,,0.4281117444,,94.2493471019,
131,Canada,2009,,62311.323,,75.122,,77.3333333333,,36104.0,77.8921056383,81.2,8.0,0.6438501283,,94.2493471019,524.2418333232
132,Canada,2010,,62422.417,,75.252,,77.3333333333,,36923.0,78.0754062982,81.4,8.0,0.9698461538,,94.2493471019,
133,Canada,2011,,63173.717,,75.559,,79.6666666667,,37141.0,78.1231757054,81.6,8.0,1.0111582992,,93.4180978701,
134,Canada,2012,273.4862718,63921.863,,76.015,,79.6666666667,,37552.0,78.2007515816,81.8,8.0,0.9201119207,,93.4180978701,523.1240030691
135,Canada,2013,,64599.0,,76.326,,79.6666666667,,37974.0,78.1180642742,81.8,8.0,0.9123934828,,93.4180978701,
136,Canada,2014,,65442.989,,76.009,,81.0,,38023.0,77.7420968187,81.9,8.0,0.8820651971,,92.570264414,
137,Canada,2015,,65924.573,,76.137,,81.0,,38845.0,77.8039187387,81.9,8.1,0.7887901793,,92.570264414,526.6678054207
138,Canada,2016,,64675.087,,76.117,,81.0,,38402.0,77.2696297596,82.0,8.1,0.8183170135,,92.570264414,
139,Canada,2017,,65726.977,,76.925,,82.3333333333,,39325.0,77.5036088343,81.9,8.1,0.7407390728,,92.3938938717,
140,Canada,2018,,66959.594,21.9,77.568,,82.3333333333,,39498.0,77.3838417342,81.9,8.1,0.5769459582,,92.3938938717,520.0855209497
141,Canada,2019,,67227.517,,78.088,,82.3333333333,,39882.0,77.2516154287,82.2,8.1,0.4927452423,,92.3938938717,
142,Canada,2020,,69662.78,,74.613,,77.3333333333,,41939.0,78.1033457271,81.6,8.0,0.5040133754,,92.7134402267,
143,Canada,2021,,70001.671,20.4,77.408,13.42,77.3333333333,37.281677,42265.0,77.7299291309,81.6,7.9,1.2039763113,,92.7134402267,
144,Canada,2022,,69304.208,,79.252,13.85,77.3333333333,,41670.0,77.3199954341,81.3,7.5,0.5680146633,,92.7134402267,507.13
145,Canada,2023,272.9659007,69299.313,,79.814,12.86,74.0,40.262275,41152.0,77.2761326536,81.7,7.4,0.4535506588,,90.0227637785,
146,Canada,2024,,69417.073,,79.198,13.49,74.0,,41621.0,77.3269102698,,,0.6604942435,,90.0227637785,
147,Chile,2004,,24981.231,,63.956,,,,,,77.4,,,,,
148,Chile,2005,,24808.612,,65.092,,,,,,77.6,,,,,
149,Chile,2006,,25631.169,,66.303,,39.0,,,,77.8,,,,81.7750891009,442.0913456874
150,Chile,2007,,26349.265,,67.397,,39.0,,,,78.1,,,,81.7750891009,
151,Chile,2008,,27012.562,,68.197,,44.6666666667,,,,78.3,,,,82.5281598069,
152,Chile,2009,,29779.905,,67.101,,44.6666666667,,,,78.5,,,,82.5281598069,449.3696071481
153,Chile,2010,,35908.976,,69.816,,44.6666666667,,,,78.7,,,,82.5281598069,
154,Chile,2011,,36737.254,,71.835,,53.6666666667,,,,79.0,,,,84.2315560557,
155,Chile,2012,,37815.107,,72.703,,53.6666666667,,,,79.2,,,,84.2315560557,441.3981638876
156,Chile,2013,,38814.65,,73.338,,53.6666666667,,,,79.4,,,,84.2315560557,
157,Chile,2014,220.14672,39167.092,,73.121,,51.0,,,,79.6,,,,83.9004395447,
158,Chile,2015,220.1467204,39051.772,,73.182,,51.0,,,,79.8,,,,83.9004395447,458.5708761146
159,Chile,2016,,40782.724,,72.919,,51.0,,,,80.0,,,,83.9004395447,
160,Chile,2017,,39507.714,,73.53,,46.6666666667,,,,80.2,,,,87.6780513845,
161,Chile,2018,,36110.511,,73.729,,46.6666666667,,,82.2761205034,80.4,,,,87.6780513845,452.2725541835
162,Chile,2019,,36691.696,,73.926,,46.6666666667,,,82.4351085956,80.6,,,,87.6780513845,
163,Chile,2020,,36888.052,,65.217,,40.0,,,83.3150037735,80.8,,,,88.3515295569,
164,Chile,2021,,38873.961,,67.673,,40.0,,,82.2805281128,81.0,,,,88.3515295569,
165,Chile,2022,,37686.292,,70.97,,40.0,,,80.5504797331,81.2,,,,88.3515295569,447.98
166,Chile,2023,217.9028962,38129.817,,72.13,,37.5,22.30675,,82.270842887,81.4,,,,88.1859348408,
167,Chile,2024,,,,73.484,,37.5,,,,81.6,,,,88.1859348408,
168,Colombia,2004,,,,69.177,,,,,,72.6,,4.2611999497,,,
169,Colombia,2005,,22002.526,,70.045,,,,,81.4224997179,73.0,,3.4104629577,,,
170,Colombia,2006,,22809.761,,,,54.0,,,81.6600186145,73.3,,,,89.7299893171,385.308038471
171,Colombia,2007,,23830.082,,68.787,,54.0,,,82.220145379,73.5,,1.4027069464,,89.7299893171,
172,Colombia,2008,,26417.795,,69.285,,45.6666666667,,,82.3870404629,73.8,,1.2050059381,,88.2866642097,
173,Colombia,2009,,27501.048,,70.75,,45.6666666667,,,82.1961132954,74.0,,1.443535041,,88.2866642097,413.1814991098
174,Colombia,2010,,28461.265,,72.041,,45.6666666667,,,81.9794743166,74.3,,1.469031214,,88.2866642097,
175,Colombia,2011,,28377.165,,73.044,,46.0,,,82.388435737,74.5,,1.18438108,,90.3359269451,
176,Colombia,2012,,29104.222,,73.695,,46.0,,,82.3276136382,74.7,,1.0302992075,,90.3359269451,403.4025341769
177,Colombia,2013,,29850.692,,73.682,,46.0,,,82.604258016,75.0,,0.8799363761,,90.3359269451,
178,Colombia,2014,,29834.603,,73.949,,45.3333333333,,,82.5496689882,75.2,,0.8783394299,,88.9432781267,
179,Colombia,2015,,29932.51,,74.227,,45.3333333333,,,82.6861678297,75.4,,0.7267114657,,88.9432781267,424.9051670164
180,Colombia,2016,,29598.443,,73.819,,45.3333333333,,,82.5162741748,75.7,,0.712458786,,88.9432781267,
181,Colombia,2017,,30418.012,,73.417,,46.0,,,82.7337615793,75.9,,0.8484148057,,87.8805038965,
182,Colombia,2018,,31584.761,,72.736,,46.0,,,82.7129267243,76.5,8.2624974606,1.0273764865,,87.8805038965,412.2950849934
183,Colombia,2019,,31758.683,,71.401,,46.0,,,82.6530123425,76.6,8.1553547477,1.2854153951,,87.8805038965,
184,Colombia,2020,,36133.458,,63.133,,45.6666666667,,,82.0111703848,76.7,7.9961009,1.1559698822,,81.9314673478,
185,Colombia,2021,,32695.881,,66.015,,45.6666666667,17.166544,,82.9262200129,76.8,8.0079579,2.2833122555,,81.9314673478,
186,Colombia,2022,,29303.999,,69.93,,45.6666666667,,,84.5745075491,76.9,7.92084445,1.6081186188,,81.9314673478,408.67
187,Colombia,2023,,28838.464,,71.243,,47.0,25.034762,,84.8782093683,77.2,,1.0068045004,,84.8937983022,
188,Colombia,2024,,,,71.196,,47.0,,,,77.5,,0.8156405323,,84.8937983022,
189,Costa Rica,2004,,25433.599,,67.883,,,,,,78.6,,,,,
190,Costa Rica,2005,,23170.72,,70.777,,,,,,78.8,,,,,
191,Costa Rica,2006,,24045.977,,70.579,,49.5,,,,79.0,,,,91.7738161436,
192,Costa Rica,2007,,23593.506,,71.874,,49.5,,,,79.1,,,,91.7738161436,
193,Costa Rica,2008,,24545.965,,71.679,,43.3333333333,,,,79.3,,,,90.6365252919,
194,Costa Rica,2009,,27943.171,,70.49,,43.3333333333,,,,79.4,,,,90.6365252919,
195,Costa Rica,2010,,29179.838,,69.745,,43.3333333333,,,,79.1,,,,90.6365252919,
196,Costa Rica,2011,,30579.002,,67.318,,47.3333333333,,,,79.1,,,,89.0284994459,
197,Costa Rica,2012,,31245.25,,70.691,,47.3333333333,,14167.0,80.6133316285,79.4,,1.0110664394,,89.0284994459,440.5478107363
198,Costa Rica,2013,,33788.905,,70.779,,47.3333333333,,14379.0,81.7810265233,79.6,,1.0541519185,,89.0284994459,
199,Costa Rica,2014,,33972.59,,70.721,,46.0,,14692.0,81.6322448482,79.7,,1.5564371604,,89.2816733214,
200,Costa Rica,2015,,36256.207,,69.537,,46.0,,15204.0,81.5212297957,79.9,,1.5607967825,,89.2816733214,427.4875482069
201,Costa Rica,2016,,37745.751,,67.634,,46.0,,16149.0,82.4595169626,80.0,,1.6162453253,,89.2816733214,
202,Costa Rica,2017,,37607.974,,68.622,,46.6666666667,,17161.0,83.0012871678,80.2,,1.3603402958,,89.5883836454,
203,Costa Rica,2018,,38382.49,,69.654,,46.6666666667,,17462.0,83.2119595868,80.3,,1.5139180877,,89.5883836454,426.4982250097
204,Costa Rica,2019,,39452.125,,71.059,,46.6666666667,,17618.0,83.4534035508,80.5,,1.5450582776,,89.5883836454,
205,Costa Rica,2020,,43228.685,,63.41,,48.3333333333,,17242.0,83.0823149114,80.6,,1.5195868853,,86.4210321799,
206,Costa Rica,2021,,42225.891,,66.129,,48.3333333333,,18061.0,83.3488329458,80.8,,3.4873868643,,86.4210321799,
207,Costa Rica,2022,,38739.337,,69.056,,48.3333333333,,,,80.9,,2.400425747,,86.4210321799,415.23
208,Costa Rica,2023,,41009.612,,67.228,,50.5,22.183911,,,81.0,,1.3145100357,,88.3007786291,
209,Costa Rica,2024,,,,69.029,,50.5,,,,,,0.8199457922,,88.3007786291,
210,Croatia,2004,,,,61.47,,,,17564.0,78.6328318295,75.4,,7.5792354963,,,
211,Croatia,2005,,,,62.14,,,,18159.0,79.4345633503,75.3,,7.6012858743,,,
212,Croatia,2006,,,,62.806,,73.0,,18585.0,79.7942079935,75.9,,6.9222618117,,89.6055290515,
213,Croatia,2007,,,,66.159,,,,19750.0,79.6098004375,75.8,,6.0687370517,,,
214,Croatia,2008,,,,67.204,,,,19533.0,79.4111878662,76.0,,5.439446778,,,
215,Croatia,2009,,,,66.525,,,,18583.0,79.4752672782,76.3,,5.2970821292,,80.2151885282,
216,Croatia,2010,,,52.9,64.517,,,,18782.0,79.842028376,76.7,,6.6922970976,,80.2151885282,
217,Croatia,2011,,,51.9,62.57,,67.6666666667,,18696.0,79.17360419,77.2,,8.5753999122,,73.3022240196,
218,Croatia,2012,,,55.8,61.135,,67.6666666667,,18002.0,78.5787150701,77.3,,10.4586193632,,73.3022240196,
219,Croatia,2013,,,62.5,60.515,,67.6666666667,,17758.0,77.9553760837,77.8,6.3404621507,11.1865985694,,73.3022240196,
220,Croatia,2014,,,60.9,62.14,,67.3333333333,,17969.0,78.6737826509,77.9,,10.2383834858,3.8,70.2330754015,
221,Croatia,2015,,,54.4,63.501,,67.3333333333,,17831.0,78.0927223961,77.5,,10.3713601836,,70.2330754015,
222,Croatia,2016,,,51.4,63.194,,67.3333333333,,18914.0,78.4890291895,78.2,,6.8209607472,,70.2330754015,
223,Croatia,2017,,,43.9,65.348,,72.6666666667,,19342.0,78.5997815113,78.0,,4.6092780895,,85.3174122583,
224,Croatia,2018,,,42.7,67.371,9.2143900166,72.6666666667,,20251.0,78.8747081911,78.2,6.3394277925,3.5384564845,,85.3174122583,
225,Croatia,2019,,,35.5,68.657,,72.6666666667,,21599.0,79.0746139481,78.6,,2.4920390991,8.7,85.3174122583,
226,Croatia,2020,,,33.5,69.24,,82.0,,22004.0,79.6678151283,77.6,,2.1264424426,,89.8083636042,
227,Croatia,2021,,,27.3,71.17,,82.0,,24012.0,80.1137052001,76.6,6.8190810972,2.6926236937,,89.8083636042,
228,Croatia,2022,,,26.6,72.458,8.3293894009,82.0,,24391.0,79.6203604191,77.7,6.8477479647,2.377264498,,89.8083636042,
229,Croatia,2023,,,22.0,73.539,,73.5,,26112.0,80.7715728221,78.6,7.0766311138,2.099531163,,89.8684810641,
230,Croatia,2024,,,19.8,76.469,,73.5,,,,,7.187791894,1.8324870056,,89.8684810641,
231,Czechia,2004,,27857.034,,72.676,,,,24232.0,76.7088400426,75.9,,4.323536547,,,
232,Czechia,2005,,28675.751,30.1,73.373,,,,25010.0,76.523112714,76.1,,4.2734152181,,,
233,Czechia,2006,,29825.319,29.0,73.773,,53.0,,25982.0,76.4361485154,76.7,,3.9691906656,,87.626950868,482.7151620012
234,Czechia,2007,,30715.292,26.4,74.489,,53.0,,26585.0,76.368002075,77.0,,2.8667880187,,87.626950868,
235,Czechia,2008,,30879.781,28.2,75.103,,,,27468.0,76.2423458257,77.3,,2.2305925805,,,
236,Czechia,2009,,30756.05,27.9,73.84,,58.0,,27178.0,75.1666470551,77.4,,2.1021576483,,90.2991712142,478.1867204485
237,Czechia,2010,,31700.884,27.5,73.452,,58.0,,27387.0,73.1997658908,77.7,,3.1917892795,,90.2991712142,
238,Czechia,2011,,31959.981,28.3,74.171,,60.6666666667,,27285.0,73.4030125766,78.0,,2.8253420513,,88.0513918879,
239,Czechia,2012,274.011658,32018.481,31.1,74.719,,60.6666666667,,27164.0,73.5505026453,78.1,,3.0568979049,,88.0513918879,492.889738415
